韻	字	簡化字	推導音	校正音	註	字頻
e	癟	瘪	pie1			39
e	癟	瘪	bie2			39
an	錟	锬	tan2			39
e	侳		ziue1			39
o	侳		zuo4			39
i	藄		qi2			39
u	洬		su1			39
i	佾		yi1			39
o	莋		zuo2			39
ui	邃		sui4			39
ou	緅		zhou1			39
ou	緅		zou1			39
iu	緅		ziu4			39
an	琰		yan3			39
ui	簂		gui4			39
an	淀		dian4			39
ou	枓		dou3			39
u	枓		zhu3			39
an	鰬		qan2			39
e	鄴	邺	ye1			39
i	觝	抵	di3			39
en	稔		rhen3			39
ang	鴦	鸯	ang1			39
ang	鴦	鸯	yang1			39
u	鄏		rhu1			39
ang	鞅		yang3			39
an	顈		xan4			39
iung	顈		qung3			39
e	齛		sie1			39
an	惦		dian4			39
an	汍	丸	huan2			39
e	骼		ge1			38
y	鎡		zy1			38
iu	椇		ju3			38
i	禕		yi1			38
y	尒		el3			38
an	娩		fan4			38
an	娩		mian3			38
an	娩		wan3			38
an	娩		wan4			38
un	娩		wun4			38
an	瞑		mian2			38
an	瞑		mian4			38
ing	瞑		ming2			38
e	搹		ge1			38
en	挋		zhen4			38
a	咀		ya1			38
iu	咀		ziu3			38
iu	咀		ziu4			38
a	鞂		ja1			38
i	緆		si1			38
a	鍘	铡	zha2			38
u	蒩		zu1			38
u	蒩		zu3			38
iu	蒩		ciu1			38
an	袸		zian4			38
un	袸		cun2			38
ou	椆		chou2			38
ou	椆		zhou4			38
a	鰨	鳎	ta1			38
in	敃		min3			38
ou	冑	胄	zhou4			38
an	渙	涣	huan4			38
ui	渙	涣	hui4			38
an	痯		guan3			38
an	痯		guan4			38
an	靬		kan1			38
an	靬		jan1			38
an	靬		kan4			38
in	痳	麻	lin2			38
ai	犛	牦	lai2			38
au	犛	牦	mau2			38
i	犛	牦	li2			38
an	粄		ban3			38
i	餼	饩	xi4			38
u	葖		du2			38
an	撏		can2			38
an	撏		chan2			38
in	撏		sin2			38
?	墬		?			38
u	杼		shu4			38
u	杼		zhu4			38
au	颮	飑	pau2			38
o	颮	飑	puo1			38
iu	雎		ciu1			38
an	渲		siuan4			38
ang	酐		hang3			38
u	菰		gu1			38
ing	暝		ming2			38
ing	暝		ming4			38
an	篹		suan3			38
ou	鏂		ou1			38
ai	扠		chai1			38
an	唅		han1			38
an	唅		han4			38
un	閫	阃	kun3			38
an	輦	辇	lian3			38
e	絜		je1			38
e	絜		xe2			38
an	蚕		tian3			38
an	蹣	蹒	man2			38
an	蹣	蹒	pan2			38
au	瀟	潇	siau1			38
un	囤		dun4			37
y	痸		chy4			37
an	坢		pan3			37
ang	淙		chuang2			37
ang	淙		shuang4			37
ung	淙		cung2			37
ui	箠	棰	zhui1			37
ui	箠	棰	zhui3			37
ai	鎩	铩	shai4			37
a	鎩	铩	sha1			37
y	鎩	铩	shy4			37
an	欃		chan2			37
an	欃		zhan4			37
au	朓		chau4			37
au	朓		tiau3			37
an	棎		chan2			37
iu	鼀		ciu1			37
un	齫		kun3			37
iun	齫		yun3			37
au	憀		liau2			37
ou	憀		liou2			37
in	霠		yin1			37
o	臄		juo2			37
o	鑩		eo1			37
a	扱	插	cha1			37
u	搰		hu2			37
ang	幌		huang4			37
au	橚		siau1			37
iu	橚		siu1			37
u	廡	庑	wu3			37
ou	粈		rhou3			37
ou	逅		hou4			37
u	儵		shu1			37
in	枃		zin4			37
an	蟫		tan2			37
in	蟫		yin2			37
y	貲	赀	zy1			37
ang	嗓		sang3			37
u	鏕		lu1			37
i	頎	颀	qi2			37
y	鳷		zhy1			37
u	霂		mu1			37
au	蜩		tiau2			37
au	鷯	鹩	liau2			37
au	鷯	鹩	liau4			37
o	屩		juo1			37
ai	跆		tai2			37
an	輇	辁	ciuan1			37
an	輇	辁	chuan2			37
eng	棖	枨	cheng2			37
in	潯	浔	sin2			37
ing	葶		ting2			37
ing	葶		ding3			37
a	窊		wa1			37
a	窊		wa4			37
a	袷		ja1			37
e	袷		je1			37
y	魑		chy1			36
ung	鍠		hung2			36
a	抯		zha1			36
e	抯		sie4			36
e	抯		zie3			36
ui	鏏		sui4			36
y	蠀		cy1			36
an	鈐	钤	qan2			36
an	儼	俨	yan3			36
i	袂		mi4			36
ui	鱠		kui4			36
ui	熨		wui4			36
iu	熨		yu1			36
e	詻	咯	e1			36
o	詻	咯	liuo1			36
u	篰		bu4			36
un	鼲		hun2			36
an	鴛	鸳	yuan1			36
un	鴛	鸳	wun1			36
iu	墟		qu1			36
y	蹠	跖	zhy1			36
ou	菗		chou2			36
en	拫		hen2			36
a	豝		ba1			36
ang	慞		zhang1			36
ei	徘		pei2			36
ou	嶁	嵝	lou3			36
iu	嶁	嵝	liu3			36
o	鵓	鹁	buo2			36
ang	殭	僵	jang1			36
eng	嬣		neng2			36
a	沓		da2			36
e	蠼		jue1			36
iu	蠼		qu2			36
e	颲		lie1			36
o	軻	轲	keo1			36
o	軻	轲	keo3			36
o	軻	轲	keo4			36
i	郳		yi2			36
e	璱		she1			36
ai	駘	骀	tai2			36
ai	駘	骀	dai4			36
en	砧		zhen1			36
an	羼		chan3			36
an	羼		chan4			36
e	鉣		je1			36
ung	篢		gung1			36
ang	螳		tang2			36
an	搛		jan4			36
i	沬		vi4			36
ei	沬		mei4			36
au	蜱		miau2			36
i	蜱		pi2			36
i	亓		qi2			36
ing	岭		ling2			36
i	縪		bi1			35
an	盥		guan3			35
an	盥		guan4			35
a	搚		la1			35
an	贛	赣	gan3			35
an	贛	赣	gan4			35
ung	贛	赣	gung4			35
i	笓		pi2			35
o	銼	锉	cuo2			35
o	銼	锉	cuo4			35
u	銼	锉	zu2			35
o	蠗		zhuo2			35
an	跚		san1			35
u	俘		fu1			35
u	觚		gu1			35
o	蓏		luo3			35
o	醝		cuo2			35
i	槸		yi4			35
an	盷		xuan2			35
an	碾		nian3			35
an	碾		nian4			35
u	藗		su1			35
an	抮		xan3			35
ai	儓		tai2			35
ai	儓		tai4			35
eng	崢	峥	cheng2			35
an	蟺	蟮	shan4			35
u	瀆	渎	du2			35
o	鈳	钶	eo1			35
ing	凊		cing4			35
in	覲	觐	jin4			35
e	乜		mie3			35
i	蝞		mi4			35
ui	懟	怼	zhui4			35
an	簳		gan3			35
u	杸		chu2			35
au	緲	缈	miau3			35
ui	誶	谇	sui4			35
iu	誶	谇	ziu2			35
ing	櫺	棂	ling2			35
o	懖		guo1			35
au	鑣	镳	biau1			35
i	宓		mi1			35
au	訞		yau1			35
e	掝		hue1			35
iun	隕	陨	yun3			35
an	箝		qan2			35
iun	徇		siun4			35
en	櫬	榇	chen4			34
un	搵		wun4			34
in	燼	烬	sin4			34
i	肊		yi1			34
y	漦		chy2			34
ing	窉		bing3			34
i	鵜	鹈	ti2			34
ing	罄		qing4			34
i	蟦		fi2			34
i	蟦		fi4			34
u	袱		fu2			34
o	柘		zheo4			34
o	柁		duo4			34
an	慚	惭	can2			34
an	闌	阑	lan2			34
ai	啐		cuai4			34
ui	啐		cui4			34
ui	啐		sui4			34
iu	啐		ziu1			34
ou	鞦	秋	ciou1			34
i	塈		ji4			34
i	塈		xi4			34
i	谻		ji1			34
y	薋		cy2			34
ang	吭		hang2			34
ang	吭		hang4			34
u	幮		chu2			34
e	朅		qe1			34
e	葃		zhe2			34
i	葃		zi2			34
o	葃		zuo2			34
an	搫		pan2			34
o	搫		puo2			34
an	痶		tian3			34
an	朁		cian2			34
an	朁		can3			34
o	遏		eo1			34
e	篾		mie1			34
e	閾	阈	xue1			34
ang	樘		tang2			34
eng	樘		cheng1			34
ung	蹖		shung1			34
i	棐		fi3			34
au	摎		jau1			34
ou	摎		liou2			34
u	袾		chu1			34
u	袾		zhu1			34
an	坫		dian4			34
en	坫		zhen1			34
ung	錝		zung4			34
a	揧		la1			34
an	豏		xan4			34
ang	戕		zang1			34
ang	戕		ciang2			34
o	戕		geo1			34
i	緀		ci1			34
i	緀		ci3			34
ung	冢		zhung3			34
y	篪		chy2			34
u	鴽		rhu2			34
ung	藂		cung2			34
i	鮨		qi2			34
u	樗		chu1			34
ou	駎		zhou4			34
au	獿		nau2			34
au	獿		nau3			34
ou	莠		you3			34
i	柢		di1			34
i	柢		di3			34
i	柢		di4			34
iun	宭		jun1			34
iun	宭		qun2			34
i	髬		pi1			34
ung	薨		hung1			34
o	鉈	铊	cheo2			34
y	鉈	铊	shy1			34
i	宧		yi2			33
ou	掫		zou1			33
ou	掫		zhou3			33
iu	掫		ziu1			33
an	恮		ciuan1			33
an	恮		zhuan1			33
i	礪	砺	li4			33
in	殯	殡	bin4			33
en	嬸	婶	shen3			33
e	馝		bie2			33
i	馝		bi2			33
ui	儰		wui3			33
in	繽	缤	pin1			33
i	淅		si1			33
ai	湃		pai4			33
ung	髶		rhung2			33
y	髶		el4			33
ing	酩		ming3			33
u	杇	圬	wu1			33
i	翳		yi1			33
i	翳		yi4			33
i	謕		ti1			33
i	謕		ti2			33
y	謕		sy1			33
an	橪		yan1			33
an	橪		rhan3			33
iung	踊		yung3			33
an	橝		tan2			33
an	橝		dian4			33
an	祼	裸	guan4			33
u	縠		hu2			33
an	酖	鸩	dan1			33
i	弈		yi1			33
i	扡		yi3			33
u	嫵	妩	wu3			33
i	劙		li2			33
i	劙		li3			33
i	劙		li4			33
i	皵		ci1			33
o	皵		ciuo1			33
an	鄢		yan1			33
an	鄢		yan3			33
an	鄢		yan4			33
i	寐		mi4			33
en	賝		chen1			33
an	攛	撺	cuan1			33
o	毃		quo1			33
ang	厖		mang2			33
y	戺		shy4			33
u	牘	牍	du2			33
o	熆		heo2			33
ang	骯	肮	hang4			33
ang	骯	肮	kang3			33
i	鯽	鲫	zi1			32
eng	幪		meng2			32
an	抁		yuan3			32
an	鐶	环	huan2			32
iu	楈		siu1			32
iu	楈		siu3			32
e	孓		jue1			32
iung	孓		jung3			32
e	觖		jue1			32
ui	觖		kui4			32
a	藞		la3			32
in	緡	缗	min2			32
an	拴		ciuan1			32
ai	骸		xai2			32
a	鰈	鲽	ta1			32
e	鰈	鲽	die2			32
au	殍		biau4			32
i	殍		bi4			32
u	殍		fu1			32
y	墀		chy2			32
an	饅	馒	man2			32
an	黔		qan2			32
in	黔		qin2			32
an	渰		yan3			32
u	鍎		du2			32
au	蟟		liau2			32
u	鵡	鹉	mu3			32
u	鵡	鹉	wu3			32
ou	牖		you3			32
au	麃		pau2			32
au	麃		piau3			32
y	輊	轾	zhy4			32
u	愫		su4			32
iu	鳿		yu1			32
au	儌		jau3			32
eng	鄸		meng4			32
ui	鍏		wui2			32
ui	鍏		wui3			32
ung	痌		tung1			32
iung	菘		siung1			32
an	泔		gan1			32
eng	嶝		deng4			32
an	皖		huan4			32
y	朿		cy4			32
iung	醲		niung2			32
o	脖		buo2			32
e	糪		be1			32
e	糪		pe1			32
ui	摫		gui1			32
a	琶		pa2			32
i	軝		qi2			32
i	臆		yi1			32
y	鉐		shy2			32
i	縌		yi1			32
e	憡		che1			32
i	禊		xi4			32
iu	嶇	岖	qu1			32
en	謓		chen1			32
ui	痵		gui4			32
ai	嬯		tai2			32
an	戭		yan3			31
in	戭		yin3			31
ing	郢		ying3			31
a	罣		gua4			31
a	罣		hua4			31
ui	罣		gui4			31
au	菢		bau4			31
a	鈀	钯	ba1			31
a	鈀	钯	pa1			31
o	橐		tuo1			31
an	摶	抟	zhuan1			31
an	摶	抟	tuan2			31
an	摶	抟	zhuan4			31
a	犘		ma2			31
ung	衕		tung2			31
ung	衕		dung4			31
an	碫		duan4			31
y	髭		zy1			31
u	澍		shu4			31
u	澍		zhu4			31
u	鴀		fu1			31
u	鴀		fu3			31
an	悿		tian3			31
i	屐		ji2			31
au	槁		kau3			31
au	槁		kau4			31
e	擳		zhe1			31
y	鄑		zy1			31
o	犐		kuo1			31
ei	枺		mei4			31
o	曷		heo2			31
ui	漼		cui3			31
iu	栩		xu3			31
iu	栩		yu3			31
an	魬		ban4			31
iu	涺		ju1			31
i	怩		ni2			31
ou	紂	纣	zhou4			31
iu	鼁		qu4			31
an	甝		han2			31
iu	遹		yu1			31
an	趲	趱	zan3			31
an	趲	趱	zan4			31
i	邐	逦	li3			31
ing	蛉		ling2			31
u	鵏		bu1			31
u	鵏		bu4			31
ui	僓		hui4			31
ui	僓		tui3			31
i	欯		xi1			31
un	瞚		shun4			31
au	瑙		nau3			31
e	泐		le1			31
i	泐		li1			31
i	塉		zi2			31
ou	褎	袖	you4			31
ui	觤		gui3			31
an	梴		chan1			31
ung	螉		wung1			31
ing	麠		jing1			31
an	鬵		cian2			31
in	鬵		cin2			31
in	鬵		sin2			31
i	鞁		bi4			31
ing	鼱		zing1			31
ui	賥		sui4			31
au	謏		siau3			31
ou	謏		sou3			31
ou	謏		sou4			31
u	謏		shu1			31
eng	檸	柠	neng3			31
an	馯		qan1			31
an	馯		han4			31
au	藃		xau1			30
au	藃		hau4			30
a	磼		za2			30
an	駢	骈	pian2			30
eng	縢		teng2			30
o	斠		juo1			30
y	笞		chy1			30
y	蛓		cy4			30
au	袎		yau4			30
i	卌		si1			30
a	樝		zha1			30
u	橭		gu1			30
u	橭		ku1			30
iu	鶋		ju1			30
ai	砎		jai4			30
a	砎		ja1			30
a	砎		xa2			30
en	涔		chen2			30
u	蹼		bu1			30
iun	蜠		jun4			30
au	瞟		piau1			30
au	瞟		piau3			30
ai	睞	睐	lai4			30
iun	醞	酝	yun3			30
iun	醞	酝	yun4			30
i	弭		mi3			30
ung	忪		sung1			30
ung	忪		zhung1			30
e	昅		je2			30
i	袲		yi2			30
o	袲		nuo3			30
y	袲		chy3			30
au	旄		mau2			30
au	旄		mau4			30
i	稷		zi1			30
an	杴		xan1			30
i	諅		ji1			30
i	諅		ji4			30
i	唧		zi1			30
ung	瓮		wung4			30
ang	穰		rhang2			30
ang	穰		rhang3			30
a	蜡		zha4			30
iu	蜡		ciu4			30
o	渤		buo2			30
an	莧	苋	xan4			30
eng	諍	诤	zheng4			30
ai	誺		lai4			30
y	誺		chy1			30
y	誺		chy4			30
ui	餽	馈	gui4			30
e	噎		ye1			30
ou	堠		hou4			30
e	搣		mie1			30
e	蠽		ziue1			30
ang	椌		qang1			30
ung	椌		kung1			30
u	濋		chu3			30
ui	枘		rhui4			29
an	蕁	荨	tan2			29
iun	殉		siun4			29
iung	銎		qung1			29
iung	銎		xung1			29
u	珸		wu2			29
an	櫼		shan1			29
iu	祛		qu1			29
an	椽		chuan2			29
u	紱	绂	fu1			29
a	哳		zha1			29
ing	駖		ling2			29
o	搦		nuo1			29
ang	儴		rhang2			29
ou	鮦		zhou4			29
ung	鮦		tung2			29
ung	鮦		zhung4			29
ung	鼨		zhung1			29
an	讞	谳	yan3			29
e	讞	谳	ye1			29
an	綣	绻	quan3			29
an	綣	绻	quan4			29
an	盻		pan4			29
i	盻		xi4			29
i	盻		yi4			29
i	黟		yi1			29
y	軾	轼	shy1			29
au	肏	操	cau4			29
y	駟	驷	sy4			29
en	哂		shen3			29
iu	侷	局	ju2			29
e	栜		she1			29
u	窋		zhu1			29
iun	鮶		jun1			29
e	愜	惬	qe1			29
y	淄		zhy1			29
u	阼		zu4			29
y	淔		chy1			29
u	曶		hu1			29
ui	隈		wui1			29
ui	隈		wui4			29
u	趺		fu1			29
u	訥	讷	nu1			29
i	砅		li4			29
i	芾		fi4			29
ei	芾		bei4			29
u	芾		fu1			29
o	謵		cheo1			29
an	嵼		shan3			29
u	拇		mu3			29
e	貘		me1			29
ang	欀		siang1			29
ang	欀		rhang4			29
un	僔		zun3			29
an	紈	纨	huan2			29
i	黝		yi1			29
ou	黝		you3			29
iun	獯		xun1			29
e	洌		lie1			29
i	洌		li4			29
au	螬		cau2			28
y	禠		sy1			28
o	柝		tuo1			28
au	杲		gau3			28
ung	礱	砻	lung2			28
ung	礱	砻	lung4			28
ang	嶈		ciang1			28
en	錀		fen1			28
ou	楺		rhou3			28
a	搽		cha2			28
eng	譝		cheng2			28
o	斀		zhuo1			28
e	殈		xue1			28
ang	駔	驵	zang3			28
u	駔	驵	zu4			28
e	欂		be2			28
i	欂		bi2			28
o	欂		buo1			28
o	猼		buo1			28
u	沮		zhu1			28
iu	沮		ciu1			28
iu	沮		ziu1			28
iu	沮		ziu4			28
u	鳺		fu1			28
iu	柜		ju3			28
au	蕎	荞	jau1			28
au	蕎	荞	qau2			28
i	髲		bi4			28
i	媳		si1			28
y	觶	觯	zhy1			28
y	觶	觯	zhy4			28
i	覹		mi2			28
u	漉		lu1			28
an	綪		cian4			28
eng	綪		zheng1			28
a	汊		cha4			28
an	棈		cian4			28
iun	殞	殒	yun3			28
ang	豇		jang1			28
ang	樉		shuang3			28
a	檞		ja3			28
en	矧		shen3			28
iun	縜		yun2			28
ai	軑		dai4			28
i	軑		di4			28
ui	憓		hui4			28
o	堮		eo1			28
i	蜚		fi3			28
i	蜚		fi4			28
y	湜		shy2			28
iu	蟝		qu2			28
a	苴		cha2			28
iu	苴		ciu1			28
iu	苴		ziu1			28
iu	苴		ziu3			28
i	汨		mi1			28
iu	汨		yu1			28
an	綰	绾	guan4			28
an	綰	绾	wan3			28
an	綰	绾	wan4			28
au	鴇	鸨	bau3			28
un	錞		chun2			28
ui	錞		dui4			28
a	傌		ma4			27
o	謈		puo1			27
o	謈		buo2			27
ang	羻		qang4			27
an	殫	殚	dan1			27
en	麎		chen2			27
y	跖		zhy1			27
e	謮		zhe1			27
an	蹁		bian1			27
an	蹁		pian2			27
au	皫		piau3			27
u	錮	锢	gu4			27
an	躥	蹿	cuan4			27
o	籮	箩	luo2			27
ui	幃	帏	wui2			27
y	奭		shy1			27
ou	棸		chou2			27
ou	棸		zhou4			27
en	嵾		chen1			27
ai	壒		ai4			27
u	瓠		hu2			27
u	瓠		hu4			27
y	輜	辎	chy1			27
y	輜	辎	zhy1			27
an	顩		yan3			27
en	顩		zhen4			27
ou	蹂		rhou2			27
ou	蹂		rhou3			27
ou	蹂		rhou4			27
iu	灪		yu1			27
i	蓺		yi4			27
i	嬖		bi4			27
an	僝		chan2			27
an	僝		shuan4			27
a	哆		cha1			27
a	哆		zha4			27
o	哆		cheo3			27
o	哆		duo3			27
o	哆		duo4			27
y	哆		chy3			27
y	哆		chy4			27
i	磧	碛	ci1			27
iu	鸒		yu2			27
iu	鸒		yu4			27
an	撖		kan1			27
an	撖		qan3			27
an	撖		xan4			27
an	抃	拚	bian4			27
au	镽		liau3			27
i	玓		di1			27
ui	徊		hui2			27
in	愍		min3			27
ang	霙		yang1			27
ing	霙		ying1			27
iung	駉		jung1			27
an	樿		zhan3			27
au	嬈	娆	rhau3			27
au	嬈	娆	niau3			27
au	嬈	娆	xau4			27
iung	廱	痈	yung1			27
in	瞵		lin2			27
in	瞵		lin4			27
an	嬗		tan1			27
an	嬗		dan3			27
an	嬗		shan4			27
an	樠		man2			27
an	樠		wan2			27
en	樠		men2			27
ai	勱	劢	mai4			27
au	咆		pau2			27
ou	鄋		shou1			27
a	咋		zha4			27
e	咋		zhe1			27
e	咋		zhe2			27
au	尻		kau1			27
au	枆		mau2			27
i	暆		yi2			27
u	縟	缛	rhu1			27
ou	枸		gou1			27
ou	枸		gou3			27
iu	枸		ju3			27
o	砟		zuo2			27
e	拹		xe1			27
ing	娉		ping4			27
au	旓		shau1			27
u	蠹		du4			27
iung	灉		yung1			27
iung	灉		yung4			27
ui	劌	刿	gui4			26
a	廨		ja4			26
o	雹		buo2			26
ou	毬	球	qou2			26
ou	懰		liou2			26
ou	懰		liou3			26
i	枳		ji3			26
y	枳		zhy3			26
u	咐		fu4			26
i	晲		yi3			26
iu	詘	诎	qu1			26
au	堥		mau2			26
ou	堥		miou2			26
a	帊		pa4			26
i	厗		ti2			26
a	邂		xa4			26
ang	斨		ciang1			26
ung	涷		dung1			26
ung	涷		dung4			26
u	鯃		wu2			26
iun	箘		qun1			26
iun	箘		jun4			26
e	鍥	锲	je1			26
e	鍥	锲	qe1			26
a	螖		hua2			26
ai	磕		kai4			26
o	磕		keo1			26
ui	痿		wui1			26
ui	痿		rhui2			26
au	嶠	峤	jau4			26
iu	禺		yu2			26
iu	禺		yu4			26
in	顰	颦	pin2			26
an	骭		gan4			26
an	骭		xan4			26
u	秫		shu2			26
iu	楰		yu2			26
iu	楰		yu3			26
in	釁	衅	xin4			26
i	庴		zi1			26
i	庴		zi2			26
u	黜		chu1			26
ing	酃		ling2			26
e	拺		che1			26
e	拺		she1			26
un	棔		hun1			26
i	瑂		mi2			26
iun	奫		yun1			26
ui	芔		hui4			26
eng	曚		meng3			26
in	粼		lin2			26
un	鳼		wun2			26
ui	欈		wui2			26
i	鞿		ji1			26
an	堜		lian4			26
an	餞	饯	zian4			26
an	餞	饯	ziuan4			26
iu	齲	龋	qu3			26
iung	滽		yung2			26
i	澼		pi1			26
an	廛		chan2			26
ung	朧	胧	lung2			26
eng	礽		rheng2			25
ui	硾		zhui4			25
ing	泙		ping2			25
ai	柰		nai4			25
en	汾		fen2			25
un	餛	馄	hun2			25
ou	骰		tou2			25
u	咈		fu2			25
e	饁		ye1			25
in	潣		min3			25
ei	潣		mei3			25
o	謺		zheo1			25
ui	槥		sui4			25
ui	槥		wui4			25
y	螭		chy1			25
in	僸		jin4			25
in	僸		yin3			25
ou	蟗		ciou1			25
eng	漰		peng1			25
en	諗	谂	shen3			25
ou	詬	诟	gou3			25
ou	詬	诟	hou4			25
ou	詬	诟	kou4			25
u	輅	辂	lu4			25
u	鮢		zhu1			25
au	濯		zhau4			25
o	濯		zhuo2			25
o	崞		guo1			25
u	嚅		rhu2			25
ou	殧		ziou4			25
iu	殧		ciu1			25
iu	殧		ziu1			25
an	戡		kan1			25
en	戡		zhen3			25
au	笊		zhau3			25
au	笊		zhau4			25
o	莏		suo1			25
e	堞		die2			25
i	娭		xi1			25
an	嫙		siuan2			25
an	嫙		siuan4			25
y	稙		zhy1			25
iun	簨		siun3			25
ui	餒	馁	nui3			25
eng	鑏		neng2			25
i	罼		bi1			25
i	瘠		zi2			25
un	琿	珲	hun2			25
iu	貗		ju4			25
ou	栯		you3			25
iu	栯		yu1			25
en	柛		shen1			25
an	椯		chuan2			25
a	柺	拐	gua3			25
iu	澽		ju4			25
au	筊		xau2			25
au	筊		jau3			25
an	饞	馋	chan2			25
e	虢		gue1			25
a	嶰		xa4			25
en	荏		rhen3			25
e	嗇	啬	she1			25
ang	爌		huang3			25
ang	爌		kuang3			25
ang	爌		kuang4			25
u	匍		pu2			25
ang	懭		kang3			25
o	喏		rheo3			25
o	撂		liuo1			25
in	霪		yin2			25
an	詀		zhan1			25
an	詀		dian1			25
an	詀		zhan4			25
o	詀		cheo1			25
y	鷥	鸶	sy1			25
un	蓴	莼	chun2			25
i	齌		ci1			25
i	齌		zi1			25
i	齌		zi4			25
i	楅		bi1			25
u	楅		fu1			25
au	錭		tau2			25
u	枎		fu2			25
i	乩		ji1			25
un	菎		gun1			25
iu	嫗	妪	yu4			25
an	瀲	潋	lian3			25
an	瀲	潋	lian4			25
o	懪		buo2			25
u	鵨		shu1			24
i	熠		yi1			24
an	顑		kan3			24
an	顑		yan4			24
an	獧		juan4			24
au	鮡		tiau2			24
au	鮡		zhau4			24
an	舛		chuan3			24
u	靻		zu3			24
a	擸		la1			24
e	擸		lie1			24
o	麝		sheo4			24
y	麝		shy2			24
e	緙	缂	ke1			24
i	簃		yi2			24
y	簃		chy2			24
u	餗		su1			24
o	唰		shuo1			24
ui	宄		gui3			24
an	姅		ban4			24
an	姅		pan4			24
ou	霤	溜	liou4			24
y	蟄	蛰	zhy2			24
i	殛		ji1			24
ang	宕		dang4			24
ui	猥		wui3			24
iu	砡		yu1			24
ung	黌	黉	hung2			24
an	殄		dian4			24
i	疧		qi2			24
y	梔	栀	zhy1			24
u	尃		fu1			24
an	膦		lian3			24
ou	襡		dou3			24
ou	襡		dou4			24
u	襡		du2			24
u	襡		shu2			24
e	僰		be2			24
an	颭		zhan3			24
ui	隇		wui1			24
an	蜬		gan1			24
an	蜬		han2			24
ung	哢		lung4			24
a	渫		zha2			24
e	渫		sie1			24
e	渫		die2			24
an	燔		fan2			24
ang	謒		ciang1			24
an	軿		pian2			24
ing	軿		ping2			24
iung	蕹		yung1			24
iu	飫	饫	yu4			24
au	郜		gau4			24
u	郜		ku1			24
au	苕		tiau2			24
e	癤	疖	zie1			24
ai	犡		lai4			24
i	犡		li4			24
au	栲		kau3			24
iu	阹		qu1			24
a	禡		ma4			24
au	杳		yau3			24
i	乂		yi4			24
eng	桻		feng1			24
an	琀		han4			24
ou	餖		dou4			24
i	檥		yi3			24
en	鼖		fen2			24
in	愔		yin1			24
ing	佞		ning4			23
an	縓		ciuan1			23
an	縓		ciuan4			23
an	黽	黾	mian3			23
eng	黽	黾	meng3			23
in	黽	黾	min3			23
ang	鏹	镪	jang3			23
ai	艜		dai4			23
au	櫂	棹	zhau4			23
i	觭		qi1			23
i	觭		qi3			23
u	痼		gu4			23
ang	猖		chang1			23
a	鍜		xa2			23
ai	瘵		zhai4			23
o	櫡		zhuo1			23
e	鋱	铽	te1			23
au	鵫		zhau4			23
o	鵫		zhuo2			23
iu	棜		yu4			23
u	韣		zhu1			23
u	韣		du2			23
u	韣		shu2			23
u	轆	辘	lu1			23
i	襬	摆	bi1			23
i	襬	摆	pi4			23
ang	愴	怆	chuang3			23
ang	愴	怆	chuang4			23
ui	詼	诙	kui1			23
ing	癭	瘿	ying3			23
an	躦	躜	cuan2			23
o	躦	躜	cuo2			23
an	佺		ciuan1			23
ou	鶖		ciou1			23
ou	黀		zhou1			23
iu	藘		liu2			23
iu	澞		yu2			23
ing	鴒		ling2			23
au	趮		zau4			23
i	俚		li3			23
ou	廋		shou1			23
ou	廋		sou3			23
en	軫	轸	zhen3			23
ung	烔		tung2			23
in	紉	纫	nin2			23
e	罝		zie1			23
ing	娗		ting2			23
ing	娗		ding4			23
ui	荽		sui1			23
i	螔		yi2			23
y	螔		sy1			23
o	觷		yuo1			23
o	觷		xuo2			23
u	觷		wu1			23
an	酇		cuan2			23
e	鱖	鳜	jue1			23
ui	鱖	鳜	gui1			23
ui	鱖	鳜	gui4			23
iung	癰	痈	yung1			23
ing	砯		ping1			23
ai	頦	颏	hai2			23
ai	頦	颏	gai3			23
i	麑		yi2			23
iu	驌		siu1			23
eng	澂	澄	cheng2			23
a	匕		hua4			23
i	匕		bi3			23
ou	瀀		you1			23
y	髊		zy4			23
ing	洺		ming2			23
an	胼		pian2			23
ang	臩		guang3			23
iung	臩		jung3			23
ai	騃	呆	yai3			23
y	騃	呆	shy4			23
an	猏		jan1			22
ou	漚	沤	ou1			22
ou	漚	沤	ou4			22
an	鳹		qan2			22
i	芰		ji4			22
eng	氓		meng2			22
i	媲		pi4			22
ang	瀇		wang3			22
iu	秬		ju4			22
ang	闣		dang4			22
a	檛		zhua1			22
au	嗥		hau2			22
ui	鍡		wui3			22
y	跮		chy1			22
y	跮		chy4			22
a	謯		zha3			22
e	謯		zie1			22
i	鼷		xi2			22
an	霑	沾	zhan1			22
ang	茳		jang1			22
ui	槻		gui1			22
a	杹		hua4			22
iu	鵴		ju1			22
iu	鵴		ju2			22
ang	魴	鲂	fang2			22
i	踑		qi2			22
an	儇		xuan1			22
in	玢		bin1			22
iun	縕		yun4			22
i	鄎		si1			22
au	艚		cau2			22
an	柈		pan2			22
eng	哽		geng3			22
ou	簍	篓	lou2			22
ou	簍	篓	lou3			22
iu	簍	篓	liu3			22
u	謼	呼	hu1			22
u	謼	呼	hu4			22
an	蜸		qan3			22
ai	儗		ai4			22
ai	儗		hai4			22
i	儗		yi3			22
i	儗		yi4			22
an	悹		guan1			22
an	悹		guan3			22
an	悹		guan4			22
in	嶙		lin2			22
in	嶙		lin3			22
an	讌	宴	yan4			22
iu	斪		qu2			22
un	緄	绲	gun3			22
