aqchiuqxi 阿屈死
ngaqkueqdoeko 額骨頭高
ngekako 眼界高
ngakueqron 外國紅
nekheuxian 難看相
ngalugnin 外路人
ngaulenhau 瓦楞花
nglinthi 魚鱗天
ngelitseq 眼淚出
ngauloya 瓦老爺
numideu 糯米糰
ngemoqdu 呆木大
ngemoqdoe 呆木頭
nameqdoe 奶末頭
ngamaudoe 外碼頭
nemeqholeq 乃末好勒
ngamikuan 外面光
ngemimo 眼眉毛
numixinzan 糯米心腸
ngemitzy 礙面子
namuuen 拿摩溫
ngemiji 眼面前
ngemenji 眼門前
ngengecio 啱啱較
nanadoe 奶奶頭
neuneudoe 男囝頭
nganngandoebi 硬硬頭皮
nanenraudoe 哪能話頭
neungxiocia 囡兒小姐
nocin 腦筋
node 腦袋
nogniq 鬧熱
noman 鬧猛
nonho 儂好
lonhu 弄火
nonmin 農民
nonreq 儂個
lonson 弄鬆
nontzo 儂早
notzon 鬧鐘
notzy 腦子
ngephobi 眼泡皮
ngphikeu 魚片乾
ngepoqloqtoq 呆北落厾
nganphanngan 硬掽硬
ngepesu 呆板數
ngapaqzy 外八字
nepaqzy 內八字
ngaran 外行
ngarantaqsaq 外行搭煞
ngesoeciaq 礙手腳
ngexignin 眼仙人
ngesaqmo 眼毛
neuxioneu 男小囝
ngasanneu 外甥囡
ngasanneu 外孫囡
ngesoengeciaq 礙手礙腳
nasensen 奶嬸嬸
neuxiowe 男小惠
ngatidoe 外底頭
ngantseqdoe 硬出頭
ngatsahau 外插花
neutanka 男當家
nganciqkueqtaq 硬節骨答
ngetheqlheq 呆脫了
ngantzansendoe 硬裝榫頭
ngatsaqsani 外拆生意
ngantzoqtzytzan 硬作主張
ngtoezy 五斗廚
numi 糯米
ngeutzy 眼烏珠
ngoveqlo 熬勿牢
ngoveqteq 熬勿得
ngaxiangnin 外鄉人
nayoeseq 奶油色
nayoexiosan 奶油小生
ngazenkuan 挨辰光
ngejiqmo 眼睫毛
nenzannendu 能長能大
nezoroe 乃朝後
nezoroechi 乃朝後起
nezoroedoe 乃朝後頭
onbiqdoe 齆鼻頭
ochio 奧竅
odan 坳塘
odjio 凹撟
odjio 奧撟
ohue 懊悔
oeiochioqpe 傴腰曲背
olo 懊憦
omenthon 凹門痛
ontsoe 瞈臭
oo 坳坳
oodandan 坳坳塘塘
oqkhaq 惡揢
oqkhaq 惡掐
oqsoe 握手
oqtsoq 齷齪
oqyin 噁形
osan 懊喪
osoecin 拗手勁
osannen 噢聲能
osoe 拗手
oqxitzu 惡死做
otan 凹檔
ontonchi 瞈凍氣
oqtsoqpaqlaq 齷齪八臘
oqyinoqzan 噁形噁狀
pabin 擺平
pankau 浜瓜
panthe 浜灘
pantsaq 迸坼
paman 拜望
pansoe 幫手
pantsen 幫襯
papa 爸爸
paqciaq 百腳
paqdji 八件
paqgni 八年
paqkhe 擘開
paqmhu 伯母
paqpaq 伯伯
paqreq 八個
paqtaq 百搭
paqtzy 柏子
paqvu 伯父
paqyiq 百頁
paqyoe 柏油
pauuen 把穩
pauciq 巴結
paudoe 壩頭
pauka 把家
pauman 巴望
paupin 把柄
pauxi 把細
pibuli 扁蒲臉
peubethi 半爿天
phebantaqyoe 攀朋搭友
phadoeiqloq 派頭一六
padukhoe 擺渡口
pindjilin 冰淇淋
podoelan 報頭浪
phandeloqten 掽檯落凳
phandoeng 胖頭魚
podoepu 包頭布
piqdisensy 畢鈿生絲
phandetzy 掽檯子
peng 板魚
pebin 扳平
peciq 班級
peciq 板結
pedin 板定
pedoe 扳頭
pedoe 班頭
penci 畚箕
pendi 本地
pendi 本鈿
pensan 本生
penseq 本色
penzy 本事
peqdoe 缽頭
peqngu 撥我
peqnon 撥儂
peqyi 撥伊
peroe 背後
peseq 板刷
pexin 背心
pesoe 扳手
pesu 板數
petheq 板脫
petzan 班長
peciq 背脊
peugniq 半日
peuzan 搬場
pezy 板是
peufaqlantan 半發郎當
phifensu 批分數
peugniqthi 半日天
phadoe 派頭
phancian 掽僵
phanpe 掽杯
phantin 掽頂
phanzan 閛上
phaqpe 拍板
phede 扳談
pheqbi 潑皮
phechin 攀親
phinge 屁眼
phibin 批評
phifon 披風
phiku 屁股
phinben 拼盆
phindoe 姘頭
phiolian 漂亮
phiotzy 票子
phisan 偏生
phomeq 泡沫
photheq 拋脫
phove 泡飯
phozan 炮仗
phudu 陂陀
phuwa 破壞
pici 蓖箕
peidon 板煙筒
pidoe 邊頭
pidoe 扁頭
pifen 比分
pifoq 蝙蝠
pinciaq 鬢腳
pinkeu 餅乾
pinko 冰膠
pinkoq 鬢角
pinkueu 賓館
pinsan 冰霜
pinxian 冰箱
pinxian 儐相
pinsy 冰水
pinton 冰凍
piochian 標槍
piotzy 標致
piojin 表情
pipau 臂把
pipoq 臂膊
piqci 筆記
piqdoe 筆頭
piqgniq 畢業
piqhu 壁虎
piqloq 碧綠
piqse 癟三
piqtho 筆套
piqtzy 癟嘴
pixi 變死
pici 扁尖
pakhuecin 擺奎勁
pankadi 繃價鈿
paqkedjiun 百襉裙
paqkai 百家衣
piqkoqloq 壁角甪
piqkonpiqtzen 畢工畢正
pokote 報告單
phinlonle 拼攏來
paqlipaqli 百伶百俐
pholiqsy 泡立水
phalisy 派力司
piqloqsanchin 碧綠生青
piqloqsanchin 碧綠生清
piqliqsyzeq 筆立勢直
pilanxian 邊浪向
paqmhdoeli 伯姆道理
pomihau 爆米花
pemikhon 板面孔
paminlaqreq 擺明垃個
phaqmauphi 拍馬屁
panmitzy 繃面子
pengantsen 板硬襯
pong 爆魚
pohu 包貨
pokueu 包管
pomeu 包瞞
pomu 保姆
poqhe 北壗
poreu 包涵
poxi 保鮮
poso 包梢
potzy 報紙
phinphanchi 乒乓器
phinphandjioe 乒乓球
peupifon 半邊風
peupeugniqgniq 半半日日
piqpiqloq 碧碧綠
phaqphaqphiku 拍拍屁股
phophosau 泡泡紗
phanphanxian 乓乓響
peroedoe 背後頭
paqreqhau 百合花
panreqman 幫個忙
phanseuciaqgnieu 髈痠腳軟
pinsanciqkueq 冰生激骨
peseqdoe 板刷頭
pasaqlaqhe 擺煞垃壗
phaqsoephaqciaq 拍手拍腳
pasepasy 擺三擺四
peuxipeuweq 半死半活
paqxitzoq 八仙桌
peuseveqka 半山勿尬
phaqtzybu 拍紙簿
phitzocin 屁照鏡
pathedoe 擺攤頭
piqtzydeu 癟嘴糰
piqthokueu 筆套管
pithaqli 扁塌臉
phutzyloqsoq 破子落宿
peqtoon 不倒翁
peutzypeuzeq 搬嘴搬舌
phaqtzoxian 拍照相
pacioesy 擺酒水
pechiaqsy 扳皵絲
pinchinsylan 冰清水冷
phutonseqsy 浦東說書
piqtoqsanchin 筆篤生青
piqtoqsyzeq 筆篤勢直
peutantzon 半當中
pitsantzy 臂撐子
pantintzy 掽釘子
peutiotzy 半吊子
phauthetson 怕坍寵
puko 補膏
pulan 波浪
puli 玻璃
puse 布衫
putin 布丁
puyaq 補藥
paqvuiqnen 百無一能
panveqlo 繃勿牢
phanveqlon 掽勿攏
paqveqtzaqteq 巴勿紮得
paxiuqdoe 擺噱頭
pixifaq 變戲法
phinxiuqpen 拚血本
paqyoedon 柏油筒
phauyisy 怕現世
peuyasekan 半夜三更
payantzy 擺樣子
paqyiqtsan 百頁窗
paqyoeven 百有份
peuyave 半夜飯
phayonzan 派用場
paqzyciaq 八字腳
panzanmi 繃場面
peuzanxin 搬場星
paqzysu 八字蘇
phizyveqzy 譬是勿是
randoe 行頭
rali 嚡裏
ramau 蝦蟆
ranchieu 項圈
ranka 行家
ranli 項練
ranjin 行情
raqdoe 匣頭
rata 鞋帶
ratzy 鞋子
raungoq 下顎
raubau 下巴
rauchi 下去
raudoe 下頭
raule 下來
raulioe 下流
raume 話梅
raumi 下面
raupe 下班
raupu 夏布
rautsau 下車
rautzoq 下作
rauve 下飯
raucinxi 畫鏡線
reio 還要
rede 鹹蛋
redoe 餡頭
regnin 害人
reho 還好
reqtzy 盒子
rerau 言話
rerau 閒話
retse 鹹菜
retzy 餡子
reudoe 寒豆
reumo 汗毛
reumo 寒毛
reuse 汗衫
raufondoe 下風頭
raufonkueusy 下風官司
roefenroesu 候分候數
roegniqtzy 後日仔
roegniqthi 後日天
rankuchi 行過去
ralimi 嚡裏面
ralireq 嚡裏個
ralitaq 嚡裏墶
reumaukaq 汗馬夾
reumolinlin 汗毛淋淋
reumolinlin 寒毛凜凜
ronneuloqgniu 紅男綠女
ronngecin 紅眼睛
rodoe 號頭
roebi 厚皮
roedjiq 後極
roedoe 後頭
roefoq 後福
roegni 後年
roegniq 後日
roekhoe 候口
roele 後來
roelon 喉嚨
roesan 後生
rondan 紅糖
ronde 紅蛋
ronten 紅燈
ronzan 紅腸
roqdan 學堂
roqke 鑊蓋
roqsan 學生
roqtse 鑊鏟
roqcio 鑊焦
roqtzy 鑊子
raupeugni 下半年
raupeugniq 下半日
roepeugni 後半年
roepeugniq 後半日
reqphoqkhuen 合扑睏
roepexin 後背心
reupexin 汗背心
raupeuthi 下半天
raupauxi 下把戲
ronpanzevon 紅幫裁縫
reuseuchi 寒酸氣
roqsani 學生意
roesanka 後生家
roesoele 後首來
renxinmin 恨性命
reusypio 寒暑表
reuseuxian 寒酸相
reuseutsoe 汗酸臭
roqsantzy 學生子
reseuve 鹹酸飯
rautidoe 下底頭
raqtsydio 狹竄條
rautaqdoe 話搭頭
rautzoqphe 下作坯
roqtzyroqzeq 學嘴學舌
ronthonthon 紅通通
roqtzyti 鑊子底
roethicin 後天井
ranveqloq 行勿落
renveqteq 恨勿得
ranveqzy 行勿住
reuzanli 寒場裏
rozanphaqdu 號腸拍肚
ranjinranzy 行情行事
sade 曬臺
sadu 衰瘏
sani 生意
sanchi 聲氣
sanchin 省輕
sancian 生薑
sangniq 生日
sankhaq 生客
sanli 生梨
sansan 省省
sansu 生疏
sanweq 生活
sagnin 啥人
sanchi 爽氣
sanciaq 雙腳
sanfan 雙方
sanfon 傷風
saninciq 傷隂隲
sankhua 爽快
sanku 桑果
santi 商店
sanyiq 桑葉
sanzy 喪事
saqkhoe 煞口
saqkhu 剎枯
saqlaq 殺辣
saqphe 殺坯
saqpoq 殺博
sathi 啥體
sacioe 灑酒
satzy 篩子
saufaq 沙發
sauha 沙蟹
sautzy 痧子
xiobudo 小蒲桃
xiobakueq 小排骨
xiqbaqkuentzan 雪白滾壯
xiobaqli 小白臉
sanbinthi 生病天
seubeutzy 算盤珠
xiobanyoe 小朋友
xiociuaudoe 小鬼丫頭
xiociudoe 小鬼頭
sycidoe 四季豆
sechiuqiq 三缺一
xiociaqkhu 小腳褲
sancinkoyaq 傷筋膏藥
seciaqlianbu 三腳兩步
seciaqmho 三腳貓
xiociqmotzy 小結帽子
xiociaqphan 小腳髈
seqciurau 說鬼話
sancianron 生薑紅
xiociuse 小鬼三
syciaqzau 四腳蛇
xiodubi 小肚皮
sudoeboqcin 鎖頭縛頸
soedoecin 手頭緊
soedidon 手電筒
sydoqdoe 書踱頭
sydede 水潭潭
sydandan 水蕩蕩
sadifan 啥地方
xiodikuan 消地光
sydoekasan 梳頭家生
sedjieulianciaq 三拳兩腳
sedoeloqmi 三頭六面
zandemi 上檯面
seqdusy 說大書
sadusaqnon 衰瘏煞儂
xiodjioetzy 小舅子
soediotzy 手條子
xiodantse 小塘菜
soqdoeuciu 縮頭烏龜
sebu 三步
sechieu 三圈
seciu 三句
sedji 三件
segni 三年
xioelkhu 小兒科
sekhoe 三口
senin 聲音
senio 損腰
sendeu 身段
sendio 聲調
sendoe 榫頭
sengnian 嬸娘
sengniu 孫女
senhu 生火
senlan 身浪
senneu 孫囡
senpe 身板
senphe 身胚
sensen 嬸嬸
senthi 身體
sentzy 孫子
sepi 三遍
seqchi 濕氣
seqdoe 塞頭
seqhu 識貨
seqi 適意
seqlaq 色拉
seqxian 識相
seqsy 說書
sereq 三個
setzan 三張
setzaq 三隻
seusu 歲數
seuteq 算得
seutzy 扇子
seuzeu 雖然
sexi 散戲
seyu 山芋
sezan 散場
saqfoncin 煞風景
xiofendoe 小分頭
sefesyvoq 三翻四復
sangniandeu 雙釀糰
xiognindoli 小人道理
xingniangnian 新娘娘
xiogniqhuen 小熱昏
sangniqlaqtzoq 生日蠟燭
xingniantzy 新娘子
xigninthio 仙人跳
sognitu 捎耳朵
xigninveqkue 死人勿關
xiogniya 小年夜
songninjin 送人情
seqhubanyoe 識貨朋友
sehandoe 三夯頭
sehaqdoe 三嚇頭
xihaiqtzaq 死蟹一隻
xiohutzy 小伙子
xioehautzendoe 繡花枕頭
xingoq 仙鶴
xiai 寫意
xiandoe 想頭
xianho 相好
xianlon 相攏
xianmau 相罵
xianpan 相幫
xiantan 相打
xianchin 相親
xiantzy 箱子
xianvan 廂房
xiici 洗衣機
sanicin 生意經
soeinci 收音機
xichian 死腔
xiciaq 線腳
xidoe 先頭
xifen 線粉
xifon 西風
xikau 西瓜
xikhu 線褲
ximi 籼米
xingnian 新娘
xinkeu 心乾
xinkhoe 心口
xinkhoq 信殼
xinlan 新郎
xinli 心裏
xinxian 心想
xinxin 星星
xinsy 心思
xintsen 新邨
xincin 心旌
xintzy 信紙
xintzy 芯子
xintzy 性子
xinvon 薪俸
xinvu 新婦
xinjin 心情
xinjiu 心緒
xinzo 心潮
xioba 小排
xiobi 小便
xiochi 小氣
xiochiansy 硝鏹水
xiociu 小鬼
xiodon 小洞
xioegniu 修女
xiogni 小年
xiogniuq 小月
xiohu 小火
xioneu 小囝
xiope 小輩
xiophan 小髈
xioroq 小學
xioxin 小汛
xiosoq 小叔
xiosy 小書
xiothe 小腿
xiotse 小菜
xiocia 小姐
xiowe 小惠
xiowu 小河
xioya 消夜
xioyan 小樣
xioyon 笑容
xioyuq 小月
xiozeq 小賊
xiqko 雪糕
xisan 先生
xisy 死屍
saninciq 傷陰積
xiciq 細節
xiuio 需要
xiji 先前
xiokabachi 小家敗氣
xikueciu 死規矩
sykaucin 絲瓜筋
xinkhoedoe 心口頭
soekueqdoe 收骨頭
seqkoedon 塞狗洞
xiokugnian 小姑娘
xinkueugnin 新官人
xiokuagnin 小乖人
sykukan 水果羹
sekoqkhu 三角褲
xiqkueqli 削骨臉
saukoqlin 沙角菱
sekoqnge 三角眼
sekaqpe 三夾板
senkenpeuya 深更半夜
sekenpeuya 三更半夜
sekoqsenphe 三角身胚
sokaqsanve 燒夾生飯
sankuantiqwaq 生光的滑
xiokueuze 小棺材
xinkeujingnieu 心甘情願
seqloedon 塞漏洞
xinlankueu 新郎官
sanlikau 生梨瓜
xioelikon 修理工
syloqkueutzy 水落管子
solele 少來來
xiolonmeudoe 小籠饅頭
xiqliron 雪裏蕻
solaqxi 掃垃圾
saqlaqsybin 煞辣勢平
saqlaqsychin 煞辣勢清
saqlaqsyji 煞辣勢齊
soletheq 燒爛脫
selentsau 三輪車
solintaqti 少淋溚渧
xinloqwe 小樂惠
xilonweqthio 鮮龍活跳
xilaweqzeu 死賴活纏
sanmobin 生毛病
symicin 水麵筋
xinminciokue 性命交關
xiomodoe 小毛頭
saumhgnian 舍姆娘
symenthin 水門汀
seumethan 酸梅湯
sameqzy 啥物事
seminzy 三明治
xiomozeq 小毛賊
syngekoe 四眼狗
senneung 孫囡兒
soci 筲箕
soecin 手勁
soecin 手巾
soepe 手背
soepio 手錶
soeseq 手飾
soexin 手心
soeso 收燥
soetheq 餿脫
soetho 手套
soetzoq 收作
soezan 收場
soezeq 收入
soma 燒賣
sondon 鬆動
soqhu 縮貨
soqka 索加
soqxin 索性
soqsoq 叔叔
soqvu 叔父
sotzoe 掃帚
sove 燒飯
sowe 稍為
soxiu 稍許
soya 少爺
seuphanchi 酸胖氣
syphude 水潽蛋
xiopaqlaqtzy 小八辣子
syphopho 水泡泡
soepipau 手臂把
xiopiqse 小癟三
senpotzy 申報紙
sepeto 三班倒
xioreudoe 小寒豆
sareqdifan 啥個地方
xioraudjide 笑話奇談
sareqludo 啥個路道
sareqzanhau 啥個場化
xiqxiqbaq 雪雪白
sysyfanfan 四四方方
xisaugniqdoe 西曬日頭
xioxioneu 小小囝
xinsyre 心思閒
seqxinseqi 適心適意
soexinti 手心底
sysantzy 私生子
suxiotse 素小菜
xiothaqbi 小搨皮
soeciqdoe 手節頭
xiothedoe 小攤頭
soetzydoe 手指頭
sytsaqdoe 水赤痘
xiochingni 小青年
sutzyha 梭子蟹
soetzyi 餿主意
soeciqkhaq 手節甲
soetzykhaq 手指甲
sytzykoe 獅子狗
setsaulu 三叉路
xiotsaqlo 小赤佬
xiociqlintin 小即零丁
sancimeudoe 生煎饅頭
xiociamedo 小姐妹道
xiotiomautzy 小刁碼子
sytsypaqlu 四處八路
sotzoexin 掃帚星
soetixin 手底心
soqciqso 叔接嫂
setzaqsoe 三隻手
setzosygniq 三朝四日
sechinsyloq 三青四綠
setensyyan 三等四樣
xiotzutzon 小祖宗
soetsantzy 手撐子
saqchito 殺千刀
sociotheq 燒焦脫
xiotsezan 小菜場
sui 所以
sudoe 蘇頭
sutse 蔬菜
sutse 素菜
sujin 素淨
syveniqmaq 斯文一脈
syveqlenthen 死勿倫吞
sovesyvu 燒飯師傅
sauveqteq 舍勿得
savezaq 啥犯着
seveqzan 三勿常
xiowaqdoe 小滑頭
sanweqsycin 生活勢勁
sowutheq 燒糊脫
sewuthu 三和土
sybu 四步
xiyancin 西洋鏡
sydan 水塘
sydan 水蕩
syde 水潭
sydji 四件
sydjio 水橋
sydon 水桶
sygni 水泥
sygni 四年
syka 世界
syka 暑假
xiyankuachi 死樣怪氣
sykho 思考
syku 水果
syli 水裏
syloq 水綠
symeq 水沒
symhu 師母
symi 水面
xioyimhma 小姨姆媽
syneu 私囝
synge 四眼
sypho 水泡
sypho 尿脬
sypu 尿布
xiyanron 西洋紅
syreq 四個
soyoesoci 少有少見
syxi 水仙
xioyantsen 小陽春
xioyitzy 小姨子
sytzy 獅子
syvan 私房
syvu 師傅
syvu 師父
syvu 師務
seyanwusu 山羊鬍蘇
syyin 輸贏
syyiq 書頁
syji 舒齊
xiozanchi 小腸氣
xiazyde 寫字檯
xiozeqdoe 小舌頭
sazanhau 啥場化
xiazyke 寫字間
sozankuaqdi 掃場刮地
syzypaqciq 四時八節
xiozoxin 小潮汛
tsanaban 撐矮棒
taniq 打噎
tanban 打棚
tange 打餩
tanke 打襉
tanle 打雷
tanten 打頓
tanti 打底
tanchian 打槍
tantzen 打針
tanwan 打橫
tanyan 打烊
tangni 當年
tangniq 當日
tanka 當家
tankhoe 當口
tanxin 當心
tansy 當勢
tantzon 當中
tantzy 當仔
tantzy 檔子
tiaqphin 抵押品
taqchian 搭腔
taqcian 搭僵
taqciaq 搭腳
taqdjio 搭橋
taqdo 搭道
taqdoe 搭頭
taqka 搭界
taqlo 搭牢
taqma 搭買
taqma 搭賣
taqpe 搭班
taqrau 搭話
taqse 搭訕
taqsoe 搭手
taqtan 搭檔
taqtheq 搭脫
taqti 搭底
taqcioe 搭酒
taqtzy 搭仔
taqtzy 搭嘴
tatzy 帶子
tsobanban 草棚棚
chianbiciu 槍斃鬼
tzobadoe 照牌頭
thaqbiqdoe 塌鼻頭
thaqbigni 搨便宜
thobigni 討便宜
thabiniqti 太平一點
tanbaqkhaq 打白客
taqbankhuen 搭棚睏
tsebaqnge 睬白眼
thoebeutzy 偷蟠仔
thanbutzy 湯婆子
tsybuyon 雌伏雄
tanbanyoqtzen 打防疫針
tsencindi 寸金地
tseqchidon 出氣筒
tseqcindan 寸金糖
tecikaq 擔肩胛
thecikaq 坍肩胛
thociqli 討吉利
ticinlian 掂斤兩
theuchiqletzu 貪吃懶做
chiqchioqpaqgnio 七曲八繞
chiqdjiopaqliq 七翹八裂
chiqdjiopaqliq 七撟八裂
chiqchioqpaque 七曲八彎
tzycianron 紫絳紅
toechieutzy 兜圈子
tzeucinthoekueq 轉筋透骨
taqciaqtaqsoe 搭腳搭手
tzanchiantzoqxi 裝腔作死
chinchiqzau 請吃茶
tzodoebi 搔頭皮
tsaqdeciaq 拆檯腳
todeciu 搗蛋鬼
theqdoecin 脫頭頸
tsandoqciaqxi 唱獨腳戲
tsetodoe 菜刀頭
tzududoeman 做大頭夢
tzududoemon 做大頭夢
tandoefon 打頭風
tindoefon 頂頭風
chindofu 清道伕
tzudoefaq 做頭髮
tindoehu 頂頭貨
tsydikhue 此地塊
tzodoeke 灶頭間
ciqdoekueu 節頭管
tandoekueuciaq 當頭灌腳
tsydoekuano 痴頭怪腦
tindoele 頂頭雷
tsendoelan 春頭浪
tsodjinlu 抄近路
thiodoelu 挑頭路
theqdoeloqphe 脫頭落襻
tzedoeliqxiuq 斬頭瀝血
tandoepho 當頭砲
tandiphu 打地鋪
chiqdinpaqtan 七停八當
tzydoese 豬頭三
thendoesy 吞頭勢
tendoexi 燈頭線
tandjianxintzen 打強心針
thidoeti 剃頭店
tandetzy 打彈子
taqdotaqde 搭道搭隊
thudoethuno 土頭土腦
tzydoetzyno 紙頭紙腦
toqdinthase 篤定泰山
tsoedoevu 臭豆腐
tsoedoevukeu 臭豆腐乾
tsandjionwu 闖窮禍
tseqdoexi 出頭戲
tzaqdeyin 紮臺型
tseudoezen 脆頭繩
tebi 單被
tecin 對景
tedoe 對頭
tedu 膽大
tehau 對蝦
teku 對過
telo 擔老
temi 對面
tenchian 登腔
tenci 鐓雞
tenciaq 頓腳
tenma 躉買
tentan 躉當
tentzy 凳子
tenyan 登樣
tenzeq 膯食
tanelpifon 當耳邊風
elpifon 耳邊風
teqfaq 得法
tese 單衫
tesen 單生
texiotzen 呆小症
tzoeti 早晏點
teukhu 短褲
teuli 鍛煉
teusoq 短縮
teutzen 端正
teuzoe 短壽
tezeq 對直
tseqfondoe 出風頭
tzofaqdoe 早發頭
tzanfaqdoeli 長發頭裏
tzanfaqdoelan 長發頭浪
tzofongnitu 招風耳朵
tsaqfaqtzeu 插髮簪
tsaqgnioeban 拆牛棚
thogniodoe 討饒頭
chingnide 青泥苔
tzugninka 做人家
tzoegninka 走人家
tangnikuan 打耳光
tzygninka 主人家
tzugninkhaq 做人客
chigninepe 千年難般
tsygnioepi 吹牛屄
tsygnioese 吹牛三
tzogniuxiu 招女婿
tzugniuqtzy 做月子
tzengniqthi 整日天
tzengniuqtsuiq 正月初一
tzenyuqtsuiq 正月初一
tseqgnivuzan 出言無常
tzugninjin 做人情
thabin 太平
thabu 太婆
thakon 太公
thanueu 湯碗
thandeu 湯糰
thandoe 耥頭
thankueu 湯罐
thanpo 湯包
thantzon 湯盅
thanyaq 湯藥
thaqbi 搨鐾
thaqbi 傝皮
thabiqthi 拖鼻涕
thazeqdoe 拖舌頭
thaqfen 搨粉
thaqhau 搨花
thaqle 搨累
thaqtso 搨草
thatha 太太
thayan 太陽
tanhachi 打哈欠
tzuhaudoe 做花頭
tanhuendu 打昏塗
thenge 坦眼
theciq 炭結
thede 坍臺
thedoe 推頭
thefe 推販
thendoe 吞頭
thepe 推扳
theqciaq 脫腳
theqga 脫骱
theqkhon 脫空
theqko 忒高
theqliq 脫力
theqlon 脫籠
theqmo 脫卯
thetzy 毯子
thewan 灘簧
thewe 攤為
thewu 坦和
thingu 天鵝
thichi 天氣
thidoe 剃頭
thikeu 天乾
thilan 天冷
thile 天藍
thimen 天門
thinkuaq 挺括
thiopan 跳浜
thiosau 挑痧
thioseq 跳蝨
thiothiq 挑剔
thiqdio 鐵條
thiqdjin 貼近
thiqgnioq 貼肉
thiqhue 鐵灰
thiqkan 鐵梗
thiqpi 貼邊
thiqtaq 鐵鎝
thiqtso 鐵抄
thiqtsy 貼鼠
thiqtzy 帖子
thiqjian 鐵匠
thireu 天旱
thisoe 替手
thitan 天打
thitha 添太
thithi 天天
thitsan 天窗
thicin 天井
tanhulhu 打呼嚕
tzenholaqla 正好垃拉
thochio 討巧
thoekhe 敨開
thognio 討饒
tholen 討論
thondon 通同
thonthon 統統
thoqtin 禿頂
thora 套鞋
thorau 套話
those 套衫
thotan 討打
chiqhuapaqchi 七歪八牽
chiqhuenpaqsu 七葷八素
thihuso 天火燒
thubaq 土白
thudan 拖堂
thudi 土地
thufen 拖畚
thupu 土布
thusy 吐司
thutheq 毻脫
thutzy 兔子
tanhoqxi 打霍險
tzuhozy 做好事
tiatia 爹爹
tsauiqciaq 叉一腳
taqiqciaq 搭一腳
tzaqicin 着衣鏡
cioeide 酒靨潭
tidoe 點頭
tidu 底肚
tika 店家
tinban 頂棚
tinbau 釘耙
tinso 盯梢
tinto 丁倒
tintzen 頂真
tintzy 釘子
tiotzy 銚子
tiotzy 刁嘴
tiphu 店鋪
tiqgnioq 扚肉
tiqko 跌跤
tiqpe 扚背
tirau 底下
tsoeioxi 臭要死
tixin 點心
tito 顛倒
tzaqizan 着衣裳
tsaqkaba 拆家敗
tsaqkaban 拆家棚
theukhoechi 探口氣
thiqkonci 鐵公雞
tsoqkhaq 觸揢
tsoqkhaqciu 觸揢鬼
tsoqkhaqciu 促掐鬼
tzeukoedoe 鑽狗洞
theukhoefon 探口風
thokhoefon 討口風
tzukhaqgnin 做客人
chinkakon 親家公
tokauli 倒掛臉
tsaqkueqloq 赤骨落
tsaqkuaqlaqxin 赤刮辣新
chinkamhu 親家母
takomotzy 戴高帽子
thiqkaqpiq 貼隔壁
tekaqpiq 對隔壁
tzenkaqpiq 正隔壁
chiqkanpaqkan 七講八講
chiqkopaqti 七高八低
thonkuesoe 通關手
tiqkoqsyfan 的角四方
thokhoetse 討口彩
ciqkhaqtzy 節甲指
thonkueciq 通關節
taqkatzy 搭架子
tiqkentoe 跌跟斗
chiankatan 搶家當
tzoqkeqtu 捉鴿多
tankeqtu 打鴿多
thaqkhutse 塔棵菜
thenkanvoesy 氽江浮屍
thokaweka 討價還價
ciqkhaqyoe 節甲油
tsokhezan 吵開場
tholobu 討老婆
ciqlonba 接龍牌
tzolandoe 早浪頭
tzonlandoe 中浪頭
tenlonkhu 燈籠褲
tanlinkoq 打菱角
tseqlonkonfu 出籠功夫
tsenlikhutzy 襯裏褲子
tiqliqkuenyeu 的粒滾圓
tzylule 紫羅蘭
tseqlanmen 出冷門
tseqlomautzy 出老碼子
thiqlopen 貼老本
tsyliphin 處理品
chianlipau 槍籬笆
chiqlopaqseq 七老八十
tsenlipuse 襯裏布衫
chiqlopaqzeq 七老八十
tsanlinsau 闖鄰舍
tsaqlaqtzoq 插蠟燭
tsulitsu 錯連錯
tsolitzy 草簾子
thulithuchi 土裏土氣
toeletoechi 兜來兜去
tzaqlitankhu 着連襠褲
thilithalha 添裏太拉
tsenliteuse 襯裏短衫
tsaqlaqciowan 赤辣焦黃
teulitsoezan 短裏抽長
tsaqleu 斥爛屙
tsolanve 炒冷飯
tsolanvedoe 炒冷飯頭
tzolanxian 早浪向
tzonlanxian 中浪向
thiloya 天老爺
tseqmobin 出毛病
tsoqmedoe 觸霉頭
tzoemedoe 皺眉頭
ciamedoli 姐妹道理
thonmindoxin 通名道姓
tsomihau 炒米花
tsemihau 採棉花
tzaqmihau 摘棉花
tzanmenmi 裝門面
tzoqmenmen 捉猛猛
tsememetzy 猜謎謎子
taqmaqxiq 搭脈息
tzaqmitzy 紮面子
tsaumaucian 搓麻將
tzenmentzenlu 正門正路
tzymauwu 芝麻糊
tsymozon 刺毛蟲
tsenonbaqnge 睬儂白眼
tsonngaqkoq 額角
chiqlonpaqlon 七弄八弄
teungciq 端五節
tsongatsy 抄牙齒
teungtzon 端午粽
toefon 兜風
toetoe 兜兜
toka 到家
toleu 搗亂
toncin 懂經
tondoe 東頭
tonfon 東風
tonhe 東壗
tonkau 冬瓜
tonmi 東面
tonsy 凍水
tontsan 凍瘡
tontzoq 凍瘃
topau 到把
toqdin 篤定
toqthe 篤坦
toqyu 涿雨
tanoqxin 打噁心
tosoe 到手
totheq 倒脫
